	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z
OTU_1	0	0	1596	566	2678	2010	0	898	215	0	653	0	0	647	877	0	0	1799	0	908	0	0	1614	0	2869	1156
OTU_2	0	1633	0	2104	0	0	717	2722	77	0	0	0	0	570	0	0	1520	0	1802	0	868	2230	0	936	0	0
OTU_3	54	1448	0	347	2315	0	0	1093	0	0	0	0	187	2502	0	0	0	0	0	1380	0	0	0	0	0	1623
OTU_4	0	0	1784	0	1356	0	1421	0	0	0	0	1557	0	1942	2115	0	0	0	0	0	2254	939	1990	0	0	1048
OTU_5	0	1366	951	1700	1378	0	1203	0	108	0	1372	1683	0	0	0	0	1457	805	0	0	0	2378	0	1203	2659	0
OTU_6	541	2503	1987	0	0	0	0	0	1585	0	2438	0	0	0	0	0	1685	1169	0	0	2095	0	0	2227	0	730
OTU_7	0	0	0	1304	2598	0	0	0	0	387	0	0	1591	0	0	450	0	1492	0	0	0	0	0	0	0	1085
OTU_8	90	0	0	0	0	2584	0	2103	0	171	1213	0	2356	0	2283	0	2982	0	0	2388	1767	0	2123	0	0	0
OTU_9	0	0	0	0	1433	2304	0	0	277	0	1418	375	416	784	0	0	0	0	1415	0	0	0	1554	223	233	0
OTU_10	588	625	0	0	0	0	0	286	0	1956	0	1793	928	0	0	1809	0	1871	0	0	676	0	0	0	0	0
OTU_11	0	1988	2040	0	2303	0	2313	0	810	0	0	198	0	1312	0	0	1167	856	2444	0	0	576	0	0	493	2001
OTU_12	0	960	0	1588	1557	0	145	2055	0	0	0	0	203	0	0	0	0	607	1030	0	2043	0	0	895	1538	0
OTU_13	0	0	0	0	0	932	8	0	0	0	0	0	1035	0	1709	462	0	1365	0	831	0	0	0	973	0	1359
OTU_14	1843	0	0	0	0	0	0	0	0	0	0	613	0	0	898	1517	0	832	0	2524	0	0	29	0	0	0
OTU_15	0	151	935	0	0	0	0	96	665	1102	1973	430	949	2036	0	0	0	0	0	0	854	0	0	0	0	0
OTU_16	1447	0	0	0	0	0	419	0	0	172	2199	0	0	0	0	0	398	0	0	0	0	0	96	1065	0	0
OTU_17	0	0	0	837	0	0	84	0	938	2056	0	1614	804	1721	0	0	2046	0	0	0	0	1934	0	11	2258	469
OTU_18	0	0	2899	0	1789	0	0	0	0	3294	0	0	0	0	0	0	0	1325	2067	2421	617	0	2211	0	0	1451
OTU_19	0	0	0	1871	592	1859	0	161	185	0	0	0	0	0	0	1591	0	0	0	0	1116	1104	2539	0	0	0
OTU_20	0	2206	0	0	0	117	312	0	0	0	2175	834	0	0	2704	0	0	1047	565	1709	0	2147	0	0	0	0
OTU_21	0	0	0	723	0	351	254	539	0	0	0	436	1535	0	0	2089	0	1316	462	0	2254	0	0	0	1417	0
OTU_22	1885	2688	2970	0	0	251	536	0	0	242	0	1937	236	0	0	0	0	312	0	0	1578	0	0	0	0	924
OTU_23	0	0	0	0	0	0	0	0	695	0	0	300	0	0	0	1150	0	1905	0	0	0	0	0	0	0	0
OTU_24	917	0	0	0	682	53	0	0	1001	0	0	26	2382	0	0	1015	0	0	1386	0	1828	1285	500	0	0	191
OTU_25	2001	0	0	0	2295	975	2234	0	0	0	0	418	2543	102	501	239	0	0	0	0	585	0	0	2012	0	0
OTU_26	0	0	0	0	0	0	0	1457	1015	0	0	2305	0	2898	0	1112	1457	0	1302	0	0	0	0	0	0	0
OTU_27	631	1983	0	0	0	258	2085	941	1676	0	0	2075	2043	0	0	271	0	0	268	0	0	0	1704	0	0	1151
OTU_28	0	0	0	0	0	0	0	0	1961	0	0	0	0	1247	0	1694	2048	1126	0	896	0	0	1367	0	384	0
OTU_29	0	948	0	785	1126	0	0	0	0	111	2679	0	0	2085	2554	1767	0	141	0	0	0	0	2218	0	0	0
OTU_30	1689	0	0	0	1301	0	0	0	0	0	2346	0	0	0	0	0	0	1053	0	2309	0	1037	0	206	0	0
OTU_31	0	0	0	1753	0	0	0	0	667	2561	0	904	2489	0	2637	0	0	0	0	2106	0	0	1942	1927	0	0
OTU_32	0	0	0	411	983	0	1565	0	0	0	0	0	0	0	319	255	0	223	1728	0	443	0	0	2296	0	0
OTU_33	8	0	0	413	0	0	0	306	0	0	0	262	0	0	2588	0	0	0	0	0	0	1168	0	1592	1908	1473
OTU_34	2114	0	0	1857	0	0	0	0	0	941	1419	0	0	0	0	0	0	219	0	0	0	1372	0	0	0	1826
OTU_35	0	0	0	774	0	502	1993	1554	642	2078	0	0	0	2638	0	2361	1220	0	0	0	1133	0	0	1212	810	0
OTU_36	834	326	0	1831	0	1378	0	0	1105	0	0	0	0	0	0	207	1292	1456	2318	0	0	0	0	504	282	0
OTU_37	0	0	0	356	0	0	2258	410	0	151	0	0	0	0	0	0	0	1332	949	267	632	0	0	1627	0	0
OTU_38	1775	0	800	0	0	0	0	0	188	0	0	915	0	0	1538	0	0	1590	0	215	1526	0	130	0	1138	723
OTU_39	1694	0	0	1012	0	507	296	886	1635	3231	540	2281	1316	0	0	0	0	734	2114	0	0	774	2263	0	0	502
OTU_40	1567	0	0	1747	0	0	0	0	1910	0	0	1842	628	0	0	0	0	1408	0	0	809	0	0	0	0	0
OTU_41	316	0	174	0	1865	117	0	2613	1952	0	1667	0	0	0	0	1685	0	1057	1722	0	463	418	0	0	1928	699
OTU_42	2233	0	0	1863	0	0	956	0	1054	0	2627	0	0	0	0	0	0	0	2022	2555	0	0	1771	0	1040	1921
OTU_43	0	2800	0	0	0	0	0	0	1483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1547	0	0
OTU_44	0	0	0	0	59	2283	0	1618	0	0	0	553	201	0	0	0	0	1569	2357	528	0	0	0	1287	0	0
OTU_45	1062	0	2359	0	0	0	0	0	2448	0	1312	0	0	2698	0	1657	0	0	170	0	0	0	0	0	0	0
OTU_46	0	86	0	310	0	974	0	8	0	0	0	0	0	0	602	0	0	0	0	2191	0	0	0	1380	972	0
OTU_47	0	1076	0	0	0	0	1988	0	0	136	0	0	103	0	0	387	251	0	0	0	887	0	0	0	826	1356
OTU_48	1470	0	0	0	0	0	0	0	1371	0	0	0	0	0	0	0	0	0	0	343	0	860	0	1666	0	0
OTU_49	336	40	2636	0	1067	965	474	32	1973	0	0	0	0	323	0	1779	0	0	0	0	0	0	1027	0	2947	0
OTU_50	0	0	1509	851	0	0	0	1904	243	0	1025	0	0	44	1118	0	0	0	0	0	230	0	0	0	0	0
OTU_51	0	0	0	0	2593	0	1907	0	0	3102	0	0	0	0	0	407	0	0	2283	1608	970	0	0	0	0	0
OTU_52	0	444	1495	0	0	0	1181	1858	1749	0	1298	754	0	819	0	0	906	0	0	0	0	1661	0	717	0	0
OTU_53	194	0	0	540	377	1897	85	0	1054	629	0	0	0	0	339	0	0	0	2004	0	931	1952	0	0	898	346
OTU_54	637	1766	1764	2128	1598	2331	0	0	0	1552	0	0	0	0	0	0	0	1797	0	1533	1247	0	82	162	0	0
OTU_55	1899	0	0	0	0	0	0	0	0	688	0	653	0	0	3230	0	2634	0	0	2419	1343	0	0	1910	0	832
OTU_56	0	0	290	1107	430	0	1505	0	2296	0	0	0	0	0	0	53	2	752	1980	0	694	0	0	0	0	1989
OTU_57	0	1029	0	1650	0	2512	1990	0	0	0	0	0	0	2561	2385	0	0	0	0	0	0	1210	30	0	0	0
OTU_58	0	1960	0	0	0	2062	0	1281	978	0	1555	0	507	0	0	0	0	0	0	0	1803	0	0	0	0	1117
OTU_59	0	0	0	2035	0	555	0	0	0	0	2646	180	0	53	0	0	2112	0	1930	0	0	160	0	0	0	1805
OTU_60	0	0	0	0	1533	0	2199	308	0	0	0	1923	1577	0	674	0	1200	0	0	2226	899	2098	0	0	0	0
OTU_61	0	0	0	657	0	1797	0	0	2489	0	300	367	0	432	139	2477	0	0	0	0	1289	0	2682	0	0	0
OTU_62	542	0	2771	0	0	2380	0	1722	0	0	0	0	0	0	0	737	0	1275	0	1804	917	2802	0	0	0	1249
OTU_63	1373	728	883	0	0	0	0	0	0	3239	0	0	2334	0	0	0	327	0	0	1376	0	0	139	2177	0	0
OTU_64	0	0	0	0	0	0	0	420	0	3249	1295	0	1554	2016	0	0	3249	0	0	0	1119	936	0	0	1215	0
