	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z
OTU_1	0	0	3268	1138	5448	4151	0	1843	439	0	1332	0	0	1307	1779	0	0	3668	0	1853	0	0	3287	0	5847	2319
OTU_2	0	3270	0	4276	0	0	1513	5438	164	0	0	0	0	1165	0	0	3071	0	3701	0	1766	4552	0	1864	0	0
OTU_3	95	2938	0	776	4690	0	0	2285	0	0	0	0	368	5007	0	0	0	0	0	2824	0	0	0	0	0	3276
OTU_4	0	0	3631	0	2823	0	2850	0	0	0	0	3165	0	3955	4291	0	0	0	0	0	4629	1965	3951	0	0	2080
OTU_5	0	2804	1931	3424	2830	0	2446	0	228	0	2835	3373	0	0	0	0	2912	1581	0	0	0	4860	0	2433	5368	0
OTU_6	1099	5068	4095	0	0	0	0	0	3269	0	4962	0	0	0	0	0	3478	2319	0	0	4241	0	0	4574	0	1497
OTU_7	0	0	0	2655	5224	0	0	0	0	782	0	0	3222	0	0	834	0	2952	0	0	0	0	0	0	0	2207
OTU_8	195	0	0	0	0	5208	0	4231	0	337	2500	0	4769	0	4631	0	6083	0	0	4796	3527	0	4255	0	0	0
OTU_9	0	0	0	0	2879	4642	0	0	539	0	2808	756	861	1603	0	0	0	0	2842	0	0	0	3161	445	456	0
OTU_10	1170	1277	0	0	0	0	0	576	0	3901	0	3593	1919	0	0	3507	0	3914	0	0	1427	0	0	0	0	0
OTU_11	0	4017	4102	0	4738	0	4714	0	1701	0	0	401	0	2672	0	0	2359	1721	4877	0	0	1172	0	0	995	4063
OTU_12	0	1925	0	3128	3140	0	285	4064	0	0	0	0	404	0	0	0	0	1274	2103	0	4100	0	0	1798	3070	0
OTU_13	0	0	0	0	0	1908	16	0	0	0	0	0	2070	0	3467	955	0	2821	0	1717	0	0	0	1938	0	2728
OTU_14	3791	0	0	0	0	0	0	0	0	0	0	1183	0	0	1821	3104	0	1686	0	5076	0	0	57	0	0	0
OTU_15	0	309	1890	0	0	0	0	191	1330	2217	4011	871	1974	4024	0	0	0	0	0	0	1765	0	0	0	0	0
OTU_16	2887	0	0	0	0	0	883	0	0	358	4441	0	0	0	0	0	799	0	0	0	0	0	208	2095	0	0
OTU_17	0	0	0	1674	0	0	187	0	1918	4188	0	3275	1641	3491	0	0	4191	0	0	0	0	3893	0	21	4582	969
OTU_18	0	0	5854	0	3629	0	0	0	0	6680	0	0	0	0	0	0	0	2733	4211	4970	1259	0	4464	0	0	2921
OTU_19	0	0	0	3794	1169	3852	0	322	356	0	0	0	0	0	0	3207	0	0	0	0	2348	2264	5087	0	0	0
OTU_20	0	4452	0	0	0	222	636	0	0	0	4389	1747	0	0	5486	0	0	2192	1146	3447	0	4337	0	0	0	0
OTU_21	0	0	0	1474	0	687	493	1082	0	0	0	830	3118	0	0	4196	0	2589	897	0	4633	0	0	0	2845	0
OTU_22	3757	5524	6037	0	0	522	1133	0	0	482	0	3951	447	0	0	0	0	620	0	0	3224	0	0	0	0	1831
OTU_23	0	0	0	0	0	0	0	0	1445	0	0	616	0	0	0	2325	0	3811	0	0	0	0	0	0	0	0
OTU_24	1810	0	0	0	1362	112	0	0	2020	0	0	58	4809	0	0	2003	0	0	2789	0	3689	2602	1040	0	0	400
OTU_25	4071	0	0	0	4649	1981	4513	0	0	0	0	854	5088	206	1016	513	0	0	0	0	1174	0	0	4122	0	0
OTU_26	0	0	0	0	0	0	0	2987	2120	0	0	4668	0	5864	0	2258	2937	0	2706	0	0	0	0	0	0	0
OTU_27	1285	3979	0	0	0	523	4174	1958	3399	0	0	4203	4148	0	0	581	0	0	556	0	0	0	3435	0	0	2314
OTU_28	0	0	0	0	0	0	0	0	3949	0	0	0	0	2521	0	3517	4157	2309	0	1784	0	0	2805	0	788	0
OTU_29	0	1947	0	1634	2261	0	0	0	0	234	5371	0	0	4175	5181	3624	0	281	0	0	0	0	4489	0	0	0
OTU_30	3431	0	0	0	2653	0	0	0	0	0	4841	0	0	0	0	0	0	2138	0	4773	0	2119	0	414	0	0
OTU_31	0	0	0	3470	0	0	0	0	1302	5162	0	1817	5068	0	5350	0	0	0	0	4213	0	0	3954	3932	0	0
OTU_32	0	0	0	828	1994	0	3192	0	0	0	0	0	0	0	647	521	0	464	3528	0	876	0	0	4586	0	0
OTU_33	15	0	0	821	0	0	0	613	0	0	0	516	0	0	5250	0	0	0	0	0	0	2387	0	3270	3922	2957
OTU_34	4270	0	0	3745	0	0	0	0	0	1883	2881	0	0	0	0	0	0	459	0	0	0	2796	0	0	0	3613
OTU_35	0	0	0	1588	0	1029	4068	3162	1300	4228	0	0	0	5449	0	4783	2543	0	0	0	2316	0	0	2425	1648	0
OTU_36	1697	668	0	3766	0	2838	0	0	2164	0	0	0	0	0	0	416	2598	3012	4704	0	0	0	0	987	582	0
OTU_37	0	0	0	705	0	0	4517	849	0	313	0	0	0	0	0	0	0	2665	1916	544	1211	0	0	3281	0	0
OTU_38	3614	0	1612	0	0	0	0	0	365	0	0	1852	0	0	3120	0	0	3269	0	459	3005	0	252	0	2294	1438
OTU_39	3474	0	0	2038	0	1065	619	1772	3221	6603	1102	4670	2770	0	0	0	0	1434	4240	0	0	1582	4584	0	0	955
OTU_40	3070	0	0	3609	0	0	0	0	3905	0	0	3740	1314	0	0	0	0	2780	0	0	1644	0	0	0	0	0
OTU_41	618	0	351	0	3718	225	0	5251	4032	0	3395	0	0	0	0	3406	0	2115	3595	0	956	836	0	0	3898	1417
OTU_42	4507	0	0	3760	0	0	1928	0	2127	0	5327	0	0	0	0	0	0	0	4058	5153	0	0	3554	0	2127	3864
OTU_43	0	5642	0	0	0	0	0	0	3035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3180	0	0
OTU_44	0	0	0	0	114	4652	0	3237	0	0	0	1136	425	0	0	0	0	3210	4758	1099	0	0	0	2583	0	0
OTU_45	2175	0	4758	0	0	0	0	0	5050	0	2677	0	0	5517	0	3399	0	0	368	0	0	0	0	0	0	0
OTU_46	0	170	0	648	0	1961	0	15	0	0	0	0	0	0	1221	0	0	0	0	4433	0	0	0	2872	1986	0
OTU_47	0	2244	0	0	0	0	4088	0	0	270	0	0	208	0	0	819	504	0	0	0	1834	0	0	0	1710	2795
OTU_48	2984	0	0	0	0	0	0	0	2883	0	0	0	0	0	0	0	0	0	0	681	0	1738	0	3344	0	0
OTU_49	680	77	5304	0	2201	1975	943	61	4010	0	0	0	0	650	0	3585	0	0	0	0	0	0	2077	0	5991	0
OTU_50	0	0	3020	1775	0	0	0	3828	475	0	2006	0	0	81	2268	0	0	0	0	0	465	0	0	0	0	0
OTU_51	0	0	0	0	5229	0	3785	0	0	6276	0	0	0	0	0	833	0	0	4613	3284	1993	0	0	0	0	0
OTU_52	0	908	3075	0	0	0	2385	3688	3537	0	2637	1541	0	1648	0	0	1835	0	0	0	0	3343	0	1440	0	0
OTU_53	415	0	0	1139	743	3905	183	0	2160	1275	0	0	0	0	687	0	0	0	4054	0	1884	3945	0	0	1816	676
OTU_54	1285	3531	3595	4283	3274	4675	0	0	0	3134	0	0	0	0	0	0	0	3747	0	3164	2567	0	183	330	0	0
OTU_55	3888	0	0	0	0	0	0	0	0	1393	0	1315	0	0	6553	0	5327	0	0	4850	2741	0	0	3829	0	1731
OTU_56	0	0	603	2233	881	0	3126	0	4640	0	0	0	0	0	0	123	5	1519	3999	0	1375	0	0	0	0	3997
OTU_57	0	2069	0	3377	0	5125	3958	0	0	0	0	0	0	5207	4838	0	0	0	0	0	0	2447	69	0	0	0
OTU_58	0	3915	0	0	0	4180	0	2619	1945	0	3146	0	1051	0	0	0	0	0	0	0	3670	0	0	0	0	2338
OTU_59	0	0	0	4109	0	1114	0	0	0	0	5324	337	0	105	0	0	4273	0	3873	0	0	327	0	0	0	3688
OTU_60	0	0	0	0	3156	0	4314	656	0	0	0	3951	3226	0	1367	0	2461	0	0	4453	1825	4248	0	0	0	0
OTU_61	0	0	0	1340	0	3591	0	0	5052	0	592	746	0	883	282	5070	0	0	0	0	2591	0	5430	0	0	0
OTU_62	1083	0	5606	0	0	4910	0	3476	0	0	0	0	0	0	0	1520	0	2682	0	3676	1825	5652	0	0	0	2485
OTU_63	2807	1432	1814	0	0	0	0	0	0	6633	0	0	4709	0	0	0	672	0	0	2712	0	0	293	4375	0	0
OTU_64	0	0	0	0	0	0	0	895	0	6635	2618	0	3162	4099	0	0	6572	0	0	0	2230	1828	0	0	2469	0
OTU_65	2414	3367	0	2279	0	0	0	0	3046	0	0	0	0	0	4700	0	0	3017	489	4920	3032	0	0	3007	0	163
OTU_66	3235	1661	4140	1306	3071	0	0	0	0	4284	0	3361	2631	0	1154	0	5279	0	0	0	0	0	0	0	0	3259
OTU_67	0	0	213	0	0	0	4301	0	4338	0	1747	0	4584	0	0	0	1007	0	1157	0	1340	0	0	0	0	1501
OTU_68	0	0	0	0	264	0	1612	0	3294	2485	0	0	1611	0	2270	0	0	0	0	0	1842	3623	0	4562	4212	0
OTU_69	463	0	0	4295	0	0	0	2282	4981	0	0	4889	767	5500	3937	5000	5177	0	0	4756	0	3154	0	0	1569	3838
OTU_70	0	1682	1735	0	0	0	0	162	0	0	0	3545	4269	367	5013	0	907	0	4414	0	0	2487	563	0	642	2020
OTU_71	0	0	4278	0	0	0	4032	4113	432	0	5045	0	0	0	127	0	2898	0	829	0	0	0	0	0	4661	3822
